City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,sabang,5.89,95.32,81.97,76,98,11.07,ID,1586195244
88,jamestown,42.1,-79.24,57.0,45,1,4.7,US,1586195245
89,charters towers,-20.1,146.27,69.53,81,18,7.05,AU,1586195245
90,aljezur,37.32,-8.8,64.0,89,54,10.22,PT,1586195245
91,moerai,-22.43,-151.33,80.92,81,100,5.01,PF,1586195245
92,namatanai,-3.67,152.43,81.48,75,90,9.51,PG,1586195245
93,ponta do sol,32.67,-17.1,69.8,77,20,11.41,PT,1586195038
94,bathsheba,13.22,-59.52,87.8,62,20,14.99,BB,1586195245
95,whitehorse,60.72,-135.05,30.2,80,90,3.36,CA,1586195245
96,nandura,20.83,76.45,90.48,11,22,5.88,IN,1586195245
97,musoma,-1.5,33.8,73.4,78,75,11.41,TZ,1586195245
98,north bend,43.41,-124.22,48.99,93,90,8.05,US,1586195213
99,havelock,34.88,-76.9,82.0,50,1,13.87,US,1586195246
100,port alfred,-33.59,26.89,64.63,66,56,30.09,ZA,1586195018
101,hede,33.77,120.25,43.48,72,2,6.31,CN,1586195246
102,busselton,-33.65,115.33,66.99,36,0,17.72,AU,1586195246
103,noumea,-22.28,166.46,71.6,78,75,2.24,NC,1586195122
104,marfino,55.7,37.38,35.6,40,100,8.95,RU,1586195246
105,mount isa,-20.73,139.5,69.8,28,98,9.17,AU,1586195128
106,nisia floresta,-6.09,-35.21,89.6,59,20,14.99,BR,1586195247
107,olafsvik,64.89,-23.71,32.59,91,70,40.06,IS,1586195102
108,mago,53.25,140.18,25.68,97,100,8.9,RU,1586195247
109,barrow,71.29,-156.79,10.4,85,90,14.99,US,1586195247
110,egvekinot,66.32,-179.17,-6.86,78,89,1.81,RU,1586195044
111,zheleznodorozhnyy,55.75,38.0,35.6,40,20,8.95,RU,1586195247
112,kodiak,57.79,-152.41,30.2,36,40,17.22,US,1586195247
113,limoncito,-18.02,-63.4,87.8,66,75,8.05,BO,1586195247
114,xai-xai,-25.05,33.64,76.5,70,0,8.16,MZ,1586195247
115,manggar,-2.88,108.27,81.09,77,99,7.65,ID,1586195247
116,vila velha,-20.33,-40.29,82.0,69,75,10.29,BR,1586195017
117,kruisfontein,-34.0,24.73,54.95,75,96,24.9,ZA,1586195247
118,ribeira grande,38.52,-28.7,66.2,82,40,10.29,PT,1586195100
119,santa rosalia,27.32,-112.28,71.4,30,100,1.59,MX,1586195248
120,vanimo,-2.67,141.3,79.12,82,96,6.73,PG,1586195248
121,yumen,40.28,97.2,47.61,23,47,3.42,CN,1586195248
122,xuanzhou,30.95,118.76,49.33,73,50,3.47,CN,1586195248
123,yarmouth,41.71,-70.23,60.01,37,1,11.41,US,1586195106
124,barcelona,41.39,2.16,62.6,82,34,5.82,ES,1586195248
125,chapais,49.78,-74.85,26.6,53,90,13.87,CA,1586195248
126,lufilufi,-13.87,-171.6,83.1,70,95,1.07,WS,1586195249
127,asosa,10.07,34.53,77.32,25,95,1.12,ET,1586195230
128,golden gate,26.19,-81.7,88.0,69,40,4.7,US,1586195249
129,bandarbeyla,9.49,50.81,80.62,68,0,11.23,SO,1586195249
130,vardo,70.37,31.11,28.4,68,75,9.17,NO,1586195249
131,saint-francois,46.42,3.91,69.8,62,61,4.7,FR,1586195249
132,kanigiri,15.4,79.52,81.63,79,97,8.79,IN,1586195249
133,sandakan,5.84,118.12,82.4,83,20,1.07,MY,1586195249
134,bada,51.39,109.87,28.74,62,0,3.98,RU,1586195250
135,bredasdorp,-34.53,20.04,57.2,54,77,10.29,ZA,1586195178
136,ishinomaki,38.42,141.3,43.05,65,2,14.25,JP,1586195250
137,san quintin,30.48,-115.95,62.64,52,70,6.69,MX,1586195173
138,santa isabel do rio negro,-0.41,-65.02,91.24,57,91,4.03,BR,1586195250
